1 0.0652905  81377
1001 0.0527831  35982.5
2001 0.0446791  15521.1
3001 0.0387899  6694.81
4001 0.0341034  2516.96
5001 0.0310243  1042.57
6001 0.0284905  417.028
7001 0.0264359  188.295
8001 0.0245503  81.1754
9001 0.0228398  30.9536
10001 0.0212633  10.71
11001 0.0201152  2.84495
12001 0.0191872  -1.68991
13001 0.0184043  -4.01733
14001 0.0179362  -4.86132
15001 0.0176559  -5.25209
16001 0.0175202  -5.29581
17001 0.0174082  -5.58589
18001 0.0173216  -5.55267
19001 0.017359  -5.61482
20001 0.0172841  -5.57823
21001 0.0173011  -5.51731
22001 0.0171422  -5.57639
23001 0.0172984  -5.63156
24001 0.0173369  -5.66861
25001 0.0175485  -5.65102
26001 0.0174698  -5.70443
27001 0.0174422  -5.67629
28001 0.017428  -5.7591
29001 0.0174934  -5.71809
30001 0.0176415  -5.83289
31001 0.0177826  -5.78955
32001 0.0176869  -5.86729
33001 0.0176992  -5.94193
34001 0.0175396  -5.87349
35001 0.0177082  -5.88972
36001 0.0178197  -5.86421
37001 0.0178726  -5.95089
38001 0.018117  -5.95115
39001 0.0181497  -5.92903
40001 0.018079  -6.04303
41001 0.0182611  -6.01302
42001 0.0182451  -6.02705
43001 0.0182056  -5.98382
44001 0.0182877  -6.12023
45001 0.018503  -6.29372
46001 0.0185071  -6.27294
47001 0.0186799  -6.1835
48001 0.0187404  -6.21407
49001 0.0187455  -6.33347
50001 0.0189319  -6.36318
51001 0.0192863  -6.47688
52001 0.0195182  -6.50074
53001 0.0195041  -6.49271
54001 0.0195131  -6.44113
55001 0.0191873  -6.39186
56001 0.0191033  -6.37746
57001 0.0188765  -6.24399
58001 0.0189572  -6.31344
59001 0.0191169  -6.4434
60001 0.0189937  -6.36317
61001 0.0190164  -6.46012
62001 0.0193234  -6.41262
63001 0.019414  -6.4439
64001 0.019397  -6.48958
65001 0.0195862  -6.54588
66001 0.0195188  -6.54505
67001 0.0194828  -6.53446
68001 0.0195075  -6.43224
69001 0.0195177  -6.44773
70001 0.0193954  -6.50002
71001 0.0195034  -6.53717
72001 0.0196992  -6.64124
73001 0.0197965  -6.60997
74001 0.019811  -6.67808
75001 0.0197176  -6.65975
76001 0.0197755  -6.6582
77001 0.019732  -6.68383
78001 0.0197869  -6.62513
79001 0.0199341  -6.76405
80001 0.019949  -6.75477
81001 0.0200359  -6.77018
82001 0.0201169  -6.70246
83001 0.0202807  -6.83846
84001 0.0202733  -6.76668
85001 0.0201526  -6.77905
86001 0.0202963  -6.87346
87001 0.020295  -6.75098
88001 0.0202077  -6.74819
89001 0.020334  -6.86712
90001 0.0203664  -6.81723
91001 0.0202034  -6.77638
92001 0.0201826  -6.76813
93001 0.0203004  -6.74529
94001 0.0202331  -6.75344
95001 0.0203404  -6.78531
96001 0.0203768  -6.8258
97001 0.0201701  -6.76951
98001 0.0202515  -6.83165
99001 0.0202747  -6.67505
100001 0.0199552  -6.61743
101001 0.0198139  -6.6494
102001 0.0199019  -6.61688
103001 0.0201293  -6.78047
104001 0.0200029  -6.73017
105001 0.0201176  -6.74651
106001 0.0200929  -6.7989
107001 0.0200507  -6.66154
108001 0.0197407  -6.66759
109001 0.0198466  -6.77221
110001 0.0199749  -6.61931
111001 0.0198823  -6.65726
112001 0.0200764  -6.76479
113001 0.0200577  -6.69994
114001 0.0199705  -6.83844
115001 0.0200915  -6.89631
116001 0.0200193  -6.83381
117001 0.0202292  -6.88553
118001 0.0201316  -6.85874
119001 0.020163  -6.89526
120001 0.0202043  -6.87786
121001 0.0203112  -6.74147
122001 0.020197  -6.85171
123001 0.0201402  -6.85954
124001 0.0200948  -6.80426
125001 0.0204065  -6.83864
126001 0.0202879  -6.79882
127001 0.0201766  -6.77182
128001 0.0203365  -6.88451
129001 0.0204282  -6.83222
130001 0.0203687  -6.84536
131001 0.0203175  -6.87001
132001 0.0200283  -6.8058
133001 0.0199689  -6.84018
134001 0.0199729  -6.80627
135001 0.0201254  -6.83864
136001 0.0201904  -6.95949
137001 0.019903  -6.81907
138001 0.0201125  -6.8065
139001 0.0200135  -6.83549
140001 0.0200955  -6.79685
141001 0.0199867  -6.78441
142001 0.0200908  -6.79129
143001 0.0200413  -6.74041
144001 0.020044  -6.72033
145001 0.0198035  -6.6792
146001 0.019756  -6.67617
147001 0.0198979  -6.73225
148001 0.0201311  -6.80112
149001 0.0201998  -6.73892
150001 0.0201691  -6.71518
151001 0.020282  -6.88719
152001 0.0203085  -6.7607
153001 0.0203039  -6.8225
154001 0.0204395  -6.81343
155001 0.0206216  -6.93805
156001 0.0207121  -6.92583
157001 0.0207059  -6.93658
158001 0.0204943  -6.93046
159001 0.0205155  -6.94982
160001 0.0204063  -6.90238
161001 0.0206389  -6.91305
162001 0.0206072  -6.97838
163001 0.0205758  -7.00588
164001 0.0204441  -6.83092
165001 0.0204073  -6.94627
166001 0.0206237  -6.97361
167001 0.020633  -7.03802
168001 0.0204965  -6.97781
169001 0.0205049  -6.97027
170001 0.0205287  -6.91767
171001 0.0205983  -7.00054
172001 0.0207706  -6.93318
173001 0.020588  -6.93843
174001 0.0207894  -7.01564
175001 0.0210374  -7.05485
176001 0.0210765  -6.901
177001 0.0210694  -7.08918
178001 0.0209542  -7.09202
179001 0.0208365  -7.07626
180001 0.0208308  -7.02573
